# detectorName elementID voltage setVoltage nominalVoltage readDate readTime
H1B	1	\N	\N	0	\N	\N
H1B	2	\N	\N	0	\N	\N
H1B	3	\N	\N	0	\N	\N
H1B	4	\N	\N	0	\N	\N
H1B	5	\N	\N	-1500	\N	\N
H1B	6	\N	\N	-1620	\N	\N
H1B	7	\N	\N	-1470	\N	\N
H1B	8	\N	\N	-1550	\N	\N
H1B	9	\N	\N	-1620	\N	\N
H1B	10	\N	\N	-1480	\N	\N
H1B	11	\N	\N	-1460	\N	\N
H1B	12	\N	\N	-1630	\N	\N
H1B	13	\N	\N	-1340	\N	\N
H1B	14	\N	\N	-1440	\N	\N
H1B	15	\N	\N	-1530	\N	\N
H1B	16	\N	\N	-1560	\N	\N
H1B	17	\N	\N	-1530	\N	\N
H1B	18	\N	\N	-1450	\N	\N
H1B	19	\N	\N	-1700	\N	\N
H1B	20	\N	\N	0	\N	\N
H1B	21	\N	\N	0	\N	\N
H1B	22	\N	\N	0	\N	\N
H1B	23	\N	\N	0	\N	\N
H1L	1	\N	\N	-1510	\N	\N
H1L	2	\N	\N	-1520	\N	\N
H1L	3	\N	\N	-1540	\N	\N
H1L	4	\N	\N	-1630	\N	\N
H1L	5	\N	\N	-1410	\N	\N
H1L	6	\N	\N	-1480	\N	\N
H1L	7	\N	\N	-1680	\N	\N
H1L	8	\N	\N	-1430	\N	\N
H1L	9	\N	\N	-1540	\N	\N
H1L	10	\N	\N	-1640	\N	\N
H1L	11	\N	\N	-1480	\N	\N
H1L	12	\N	\N	-1410	\N	\N
H1L	13	\N	\N	-1540	\N	\N
H1L	14	\N	\N	-1440	\N	\N
H1L	15	\N	\N	-1600	\N	\N
H1L	16	\N	\N	-1640	\N	\N
H1L	17	\N	\N	-1640	\N	\N
H1L	18	\N	\N	-1460	\N	\N
H1L	19	\N	\N	-1640	\N	\N
H1L	20	\N	\N	-1520	\N	\N
H1R	1	\N	\N	-1580	\N	\N
H1R	2	\N	\N	-1580	\N	\N
H1R	3	\N	\N	-1580	\N	\N
H1R	4	\N	\N	-1520	\N	\N
H1R	5	\N	\N	-1640	\N	\N
H1R	6	\N	\N	-1680	\N	\N
H1R	7	\N	\N	-1580	\N	\N
H1R	8	\N	\N	-1500	\N	\N
H1R	9	\N	\N	-1500	\N	\N
H1R	10	\N	\N	-1540	\N	\N
H1R	11	\N	\N	-1480	\N	\N
H1R	12	\N	\N	-1550	\N	\N
H1R	13	\N	\N	-1440	\N	\N
H1R	14	\N	\N	-1580	\N	\N
H1R	15	\N	\N	-1480	\N	\N
H1R	16	\N	\N	-1600	\N	\N
H1R	17	\N	\N	-1680	\N	\N
H1R	18	\N	\N	-1520	\N	\N
H1R	19	\N	\N	-1690	\N	\N
H1R	20	\N	\N	-1620	\N	\N
H1T	1	\N	\N	0	\N	\N
H1T	2	\N	\N	0	\N	\N
H1T	3	\N	\N	0	\N	\N
H1T	4	\N	\N	0	\N	\N
H1T	5	\N	\N	-1690	\N	\N
H1T	6	\N	\N	-1640	\N	\N
H1T	7	\N	\N	-1490	\N	\N
H1T	8	\N	\N	-1540	\N	\N
H1T	9	\N	\N	-1520	\N	\N
H1T	10	\N	\N	-1570	\N	\N
H1T	11	\N	\N	-1620	\N	\N
H1T	12	\N	\N	-1670	\N	\N
H1T	13	\N	\N	-1530	\N	\N
H1T	14	\N	\N	-1680	\N	\N
H1T	15	\N	\N	-1320	\N	\N
H1T	16	\N	\N	-1540	\N	\N
H1T	17	\N	\N	-1560	\N	\N
H1T	18	\N	\N	-1560	\N	\N
H1T	19	\N	\N	-1540	\N	\N
H1T	20	\N	\N	0	\N	\N
H1T	21	\N	\N	0	\N	\N
H1T	22	\N	\N	0	\N	\N
H1T	23	\N	\N	0	\N	\N
H2B	1	\N	\N	-1700	\N	\N
H2B	2	\N	\N	-1600	\N	\N
H2B	3	\N	\N	-1550	\N	\N
H2B	4	\N	\N	-1420	\N	\N
H2B	5	\N	\N	-1450	\N	\N
H2B	6	\N	\N	-1480	\N	\N
H2B	7	\N	\N	-1580	\N	\N
H2B	8	\N	\N	-1550	\N	\N
H2B	9	\N	\N	-1470	\N	\N
H2B	10	\N	\N	-1550	\N	\N
H2B	11	\N	\N	-1580	\N	\N
H2B	12	\N	\N	-1490	\N	\N
H2B	13	\N	\N	-1600	\N	\N
H2B	14	\N	\N	-1600	\N	\N
H2B	15	\N	\N	-1620	\N	\N
H2B	16	\N	\N	-1530	\N	\N
H2L	1	\N	\N	-1570	\N	\N
H2L	2	\N	\N	-1710	\N	\N
H2L	3	\N	\N	-1630	\N	\N
H2L	4	\N	\N	-1510	\N	\N
H2L	5	\N	\N	-1620	\N	\N
H2L	6	\N	\N	-1540	\N	\N
H2L	7	\N	\N	-1510	\N	\N
H2L	8	\N	\N	-1530	\N	\N
H2L	9	\N	\N	-1570	\N	\N
H2L	10	\N	\N	-1600	\N	\N
H2L	11	\N	\N	-1520	\N	\N
H2L	12	\N	\N	-1620	\N	\N
H2L	13	\N	\N	-1700	\N	\N
H2L	14	\N	\N	-1480	\N	\N
H2L	15	\N	\N	-1620	\N	\N
H2L	16	\N	\N	-1480	\N	\N
H2L	17	\N	\N	-1500	\N	\N
H2L	18	\N	\N	-1560	\N	\N
H2L	19	\N	\N	-1630	\N	\N
H2R	1	\N	\N	-1600	\N	\N
H2R	2	\N	\N	-1540	\N	\N
H2R	3	\N	\N	-1730	\N	\N
H2R	4	\N	\N	-1680	\N	\N
H2R	5	\N	\N	-1660	\N	\N
H2R	6	\N	\N	-1630	\N	\N
H2R	7	\N	\N	-1370	\N	\N
H2R	8	\N	\N	-1570	\N	\N
H2R	9	\N	\N	-1480	\N	\N
H2R	10	\N	\N	-1540	\N	\N
H2R	11	\N	\N	-1460	\N	\N
H2R	12	\N	\N	-1400	\N	\N
H2R	13	\N	\N	-1540	\N	\N
H2R	14	\N	\N	-1560	\N	\N
H2R	15	\N	\N	-1360	\N	\N
H2R	16	\N	\N	-1440	\N	\N
H2R	17	\N	\N	-1470	\N	\N
H2R	18	\N	\N	-1640	\N	\N
H2R	19	\N	\N	-1640	\N	\N
H2T	1	\N	\N	-1630	\N	\N
H2T	2	\N	\N	-1600	\N	\N
H2T	3	\N	\N	-1740	\N	\N
H2T	4	\N	\N	-1550	\N	\N
H2T	5	\N	\N	-1540	\N	\N
H2T	6	\N	\N	-1610	\N	\N
H2T	7	\N	\N	-1470	\N	\N
H2T	8	\N	\N	-1600	\N	\N
H2T	9	\N	\N	-1500	\N	\N
H2T	10	\N	\N	-1650	\N	\N
H2T	11	\N	\N	-1750	\N	\N
H2T	12	\N	\N	-1500	\N	\N
H2T	13	\N	\N	-1720	\N	\N
H2T	14	\N	\N	-1530	\N	\N
H2T	15	\N	\N	-1660	\N	\N
H2T	16	\N	\N	-1610	\N	\N
H3B	1	\N	\N	-1320	\N	\N
H3B	2	\N	\N	-1440	\N	\N
H3B	3	\N	\N	-1500	\N	\N
H3B	4	\N	\N	-1500	\N	\N
H3B	5	\N	\N	-1360	\N	\N
H3B	6	\N	\N	-1430	\N	\N
H3B	7	\N	\N	-1470	\N	\N
H3B	8	\N	\N	-1390	\N	\N
H3B	9	\N	\N	-1450	\N	\N
H3B	10	\N	\N	-1390	\N	\N
H3B	11	\N	\N	-1540	\N	\N
H3B	12	\N	\N	-1550	\N	\N
H3B	13	\N	\N	-1400	\N	\N
H3B	14	\N	\N	-1580	\N	\N
H3B	15	\N	\N	-1500	\N	\N
H3B	16	\N	\N	-1370	\N	\N
H3T	1	\N	\N	-1360	\N	\N
H3T	2	\N	\N	-1330	\N	\N
H3T	3	\N	\N	-1280	\N	\N
H3T	4	\N	\N	-1430	\N	\N
H3T	5	\N	\N	-1600	\N	\N
H3T	6	\N	\N	-1560	\N	\N
H3T	7	\N	\N	-1370	\N	\N
H3T	8	\N	\N	-1420	\N	\N
H3T	9	\N	\N	-1380	\N	\N
H3T	10	\N	\N	-1560	\N	\N
H3T	11	\N	\N	-1540	\N	\N
H3T	12	\N	\N	-1560	\N	\N
H3T	13	\N	\N	-1500	\N	\N
H3T	14	\N	\N	-1460	\N	\N
H3T	15	\N	\N	-1440	\N	\N
H3T	16	\N	\N	-1300	\N	\N
H4Y1Ll	1	\N	\N	-1810	\N	\N
H4Y1Ll	2	\N	\N	-1690	\N	\N
H4Y1Ll	3	\N	\N	-1770	\N	\N
H4Y1Ll	4	\N	\N	-1800	\N	\N
H4Y1Ll	5	\N	\N	-1580	\N	\N
H4Y1Ll	6	\N	\N	-1620	\N	\N
H4Y1Ll	7	\N	\N	-1540	\N	\N
H4Y1Ll	8	\N	\N	-1570	\N	\N
H4Y1Ll	9	\N	\N	-1350	\N	\N
H4Y1Ll	10	\N	\N	-1620	\N	\N
H4Y1Ll	11	\N	\N	-1460	\N	\N
H4Y1Ll	12	\N	\N	-1630	\N	\N
H4Y1Ll	13	\N	\N	-1900	\N	\N
H4Y1Ll	14	\N	\N	-1770	\N	\N
H4Y1Ll	15	\N	\N	-1860	\N	\N
H4Y1Ll	16	\N	\N	-1840	\N	\N
H4Y1Lr	1	\N	\N	-1740	\N	\N
H4Y1Lr	2	\N	\N	-1800	\N	\N
H4Y1Lr	3	\N	\N	-1880	\N	\N
H4Y1Lr	4	\N	\N	-1730	\N	\N
H4Y1Lr	5	\N	\N	-1770	\N	\N
H4Y1Lr	6	\N	\N	-1800	\N	\N
H4Y1Lr	7	\N	\N	-1540	\N	\N
H4Y1Lr	8	\N	\N	-1610	\N	\N
H4Y1Lr	9	\N	\N	-1470	\N	\N
